group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,0,0.29542996966418145,2.433533862464279,-2.862061257925206,2.917608405881664,-3.939369447754527,28.014420369526803,-185.12853915785743,3.550391214099957,27.558577760749653,26.132013636108926,0.7990875757591377,144.84753560930935,0.0958904109589041,0.41904761904761906
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,1,0.35786849281024624,1.9938435678704387,-3.1206999016809838,3.1135734736268685,-0.9788331123100081,24.128397063972113,-185.4255417739679,187.5633742232968,119.39446065644664,68.43679920765521,0.0,318.9776617483527,0.1232876712328767,1.3555555555555554
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,2,-0.7185147725987702,2.2939055635717023,-2.98455906565354,3.093362690333027,4.273345032037154,49.114500893584186,-182.32985911157397,184.9697297638726,72.8033273453075,48.691840557916095,4.679852630420335,195.3185921845057,0.0821917808219178,0.4777777777777778
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,3,1.7478253078876758,1.2579062758613357,-2.9377518307433697,2.9594987464045794,0.5239848087213774,15.6435550660131,-9.218036878351104,179.9448579477467,58.02565775626702,63.309153948528746,0.6490018024706364,312.621284068655,0.0684931506849315,1.8133333333333332
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,4,0.7355314381868123,1.7019403830744557,-3.100876612158306,2.9085283876108265,-1.199389360328026,16.375951625729467,-184.4947515046201,12.263616140712745,78.03153274294641,50.16886124892364,6.316340126950366,211.6067208678948,0.1095890410958904,1.125
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,5,0.5059566169970329,1.6073999603940468,-1.9750404222177766,3.092443508763278,-1.6782747599862216,17.105942459051555,-183.6838778987591,6.029287766339286,64.7132932262066,52.303055681600306,7.444822394475294,254.11581468349175,0.0958904109589041,1.1047619047619048
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,6,0.5553758439465137,1.7504805031786763,-2.6338894631917165,3.114298105605675,-0.6093790277304869,3.226902397900347,-12.166054332529715,5.440732416199556,119.59664995649881,73.61571148402052,9.404325705734804,381.8237593963309,0.0547945205479452,2.2
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,7,-0.2591063804599438,2.031278573606839,-3.1192877382300352,3.0795861090344894,2.942773827485306,30.446644323774493,-186.34211751215472,187.57546912072416,117.3815232111128,63.145597190048775,14.238754897347427,284.009177592652,0.0958904109589041,0.8857142857142858
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,8,0.5999838180736489,2.7431538456866207,-2.2770173337221773,2.9904724110513787,0.9610964608068125,0.9938067969679806,0.027829341457845658,3.185914173245825,25.00885940987831,19.92264185553394,3.1749727071459297,57.52121858075189,0.0273972602739726,0.36666666666666664
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,9,0.39444665725441036,2.181982812345625,-3.1359828230838422,3.120140583432434,1.1446681266977088,27.31308397730379,-187.22280645752215,186.68380479966063,126.18524989795425,74.23921499307015,12.93536361153928,335.2242805581984,0.0684931506849315,1.28
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,10,-1.0463121570606206,0.06819027584958726,-1.1414124748734062,-0.9607754353390967,0.013828264218362918,0.5678353029414952,-1.621556455975699,0.43666102197720713,26.734602509714602,21.981326193698475,4.081728794554446,85.20795433726556,0.0136986301369863,1.2666666666666666
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,12,-0.9763225330712181,2.401668774805572,-3.0085000882407194,2.8643270718622293,13.344448833163087,54.60611744198299,-4.194825605977015,186.70583820093427,46.32808487417429,28.4746364871348,11.320150735987614,103.8946695328071,0.0410958904109589,0.26666666666666666
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,13,0.008476189300266444,2.3923054026081814,-2.890866970619102,2.9750353375473595,3.6980256285387267,58.38679278345008,-183.68414159932934,183.4679396642776,101.14587108322239,40.18012346196515,46.65862583666506,193.35314700077004,0.0684931506849315,0.30666666666666664
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,16,-1.084400984221656,0.07071841294365876,-1.1453929451675409,-1.0035839618795135,0.48157926864546635,1.1922175156484178,-0.39650244561586945,3.2179041700686684,66.12031629404834,37.80353594919544,25.29423943116013,151.8281458670839,0.0136986301369863,0.7333333333333333
recall1 and control,r1_2_81DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,17,-1.5415662999287196,0.13293983772211132,-1.7486724212280162,-1.4085182046739773,-1.4214564812418382,0.9863825028587794,-3.116100363790102,-0.21481396155989652,65.58267382222303,28.91816780350166,19.44298393831897,120.70389298024924,0.0136986301369863,0.6666666666666666
recall1 and control,r1_2_82DLC_resnet50_phi_cfc_boxNov7shuffle1_388000,0,0.6402123210973372,1.4348638182591948,-2.4601145669379543,2.84964651229122,0.20995270517648626,0.8833911080996796,-2.2968354186122153,4.35369168312419,23.640981543552392,15.587768224475536,1.7481777291321385,120.84032931024693,0.2876712328767123,0.7238095238095238
