freezing,freezing_1s,freezing_1.5s,freezing_1_75s,cohort_id,id,day,condition,sex,cohort,reexposure_mins,duration,days_since_sefla
30.344,21.508,,9,5-06,06,recall4,control,female,ptsd5,15,5,24
16.222,6.78,,0.62,5-81,81,recall4,control,female,ptsd5,15,5,24
62.018,58.808,,45.72,5-12,12,recall4,ptsd,female,ptsd5,15,5,24
29.848,25.838,,15.42,5-13,13,recall4,ptsd,female,ptsd5,15,5,24
41.098,33.966,,11.94,5-11,11,recall4,control,female,ptsd5,15,5,24
31.136,26.414,,19.43,5-84,84,recall4,ptsd,female,ptsd5,15,5,24
19.194,11.348,,3.57,5-61,61,recall4,control,female,ptsd5,15,5,24
22.734,19.076,,13.1,5-62,62,recall4,ptsd,female,ptsd5,15,5,24
25.636,20.292,,13.19,5-64,64,recall4,ptsd,female,ptsd5,15,5,24
35.576,17.826,,6.25,5-03,03,recall5,ptsd,female,ptsd5,20,5,31
42.61,36.28,,22.5,5-02,02,recall5,ptsd,female,ptsd5,20,5,31
36.832,26.12,,10.36,5-04,04,recall5,ptsd,female,ptsd5,20,5,31
22.242,12.864,,3.84,5-06,06,recall5,control,female,ptsd5,20,5,31
18.988,8.018,,0,5-81,81,recall5,control,female,ptsd5,20,5,31
54.902,49.202,,31.73,5-12,12,recall5,ptsd,female,ptsd5,20,5,31
4.904,1.07,,0,5-13,13,recall5,ptsd,female,ptsd5,20,5,31
37.108,28.55,,6.42,5-11,11,recall5,control,female,ptsd5,20,5,31
22.104,17.912,,10.07,5-84,84,recall5,ptsd,female,ptsd5,20,5,31
26.636,17.37,,8.38,5-61,61,recall5,control,female,ptsd5,20,5,31
27.812,24.24,,16.22,5-62,62,recall5,ptsd,female,ptsd5,20,5,31
32.624,20.866,,6.51,5-64,64,recall5,ptsd,female,ptsd5,20,5,31
27.51033333,22.79233333,,13.1,5-03,03,recall6,ptsd,female,ptsd5,25,30,37
40.461,37.56866667,,23.33,5-02,02,recall6,ptsd,female,ptsd5,25,30,37
43.999,40.57166667,,28.67,5-04,04,recall6,ptsd,female,ptsd5,25,30,37
27.05433333,24.117,,14.02,5-06,06,recall6,control,female,ptsd5,25,30,37
8.438666667,6.57,,1.44,5-81,81,recall6,control,female,ptsd5,25,30,37
21.065,17.50433333,,9.6,5-12,12,recall6,ptsd,female,ptsd5,25,30,37
24.06166667,20.85966667,,12.5,5-13,13,recall6,ptsd,female,ptsd5,25,30,37
42.36733333,39.20866667,,27.71,5-11,11,recall6,control,female,ptsd5,25,30,37
6.822666667,5.132333333,,2.36,5-84,84,recall6,ptsd,female,ptsd5,25,30,37
22.28,18.67666667,,10.74,5-61,61,recall6,control,female,ptsd5,25,30,37
16.153,14.01733333,,8.59,5-62,62,recall6,ptsd,female,ptsd5,25,30,37
22.87133333,20.24566667,,14.97,5-64,64,recall6,ptsd,female,ptsd5,25,30,37
2.424333333,2.396,,0.46,6-51,51,sefla,control,female,ptsd6,NA,60,0
38.238,1.8025,,32.28,6-52,52,sefla,ptsd,female,ptsd6,NA,60,0
3.893333333,1.3785,,0.82,6-61,61,sefla,control,female,ptsd6,NA,60,0
4.798166667,1.156666667,,0.79,6-62,62,sefla,control,female,ptsd6,NA,60,0
50.63816667,36.39966667,,44.17,6-63,63,sefla,ptsd,female,ptsd6,NA,60,0
66.07066667,48.26566667,,63.17,6-64,64,sefla,ptsd,female,ptsd6,NA,60,0
58.83116667,64.78733333,,57.08,6-65,65,sefla,ptsd,female,ptsd6,NA,60,0
3.365666667,58.09733333,,0.7,6-71,71,sefla,control,female,ptsd6,NA,60,0
65.95416667,45.05583333,,63.3,6-75,75,sefla,ptsd,female,ptsd6,NA,60,0
59.69616667,62.35833333,,56.4,6-74,74,sefla,ptsd,female,ptsd6,NA,60,0
63.7005,58.51,,60.19,6-73,73,sefla,ptsd,female,ptsd6,NA,60,0
47.4505,64.69383333,,41.76,6-72,72,sefla,ptsd,female,ptsd6,NA,60,0
4.83,3.1125,2.6675,2.04,6-51,51,seflb,control,female,ptsd6,NA,3,1
17.035,13.5225,9.85,7.76,6-52,52,seflb,ptsd,female,ptsd6,NA,3,1
1.865,0.445,0,0,6-61,61,seflb,control,female,ptsd6,NA,3,1
0.9625,0,0,0,6-62,62,seflb,control,female,ptsd6,NA,3,1
21.3525,11.43,5.36,3.82,6-63,63,seflb,ptsd,female,ptsd6,NA,3,1
37.74,36.535,34.035,38.22,6-64,64,seflb,ptsd,female,ptsd6,NA,3,1
31.45,29.4675,29.0175,22.8,6-65,65,seflb,ptsd,female,ptsd6,NA,3,1
0.6425,0,0,0,6-71,71,seflb,control,female,ptsd6,NA,3,1
44.74,41.8375,38.6025,33.08,6-75,75,seflb,ptsd,female,ptsd6,NA,3,1
17.8725,16.2325,11.44,9.03,6-74,74,seflb,ptsd,female,ptsd6,NA,3,1
20.975,17.7025,15.8625,13.87,6-73,73,seflb,ptsd,female,ptsd6,NA,3,1
10.955,6.9675,4.84,3.31,6-72,72,seflb,ptsd,female,ptsd6,NA,3,1
13.188,10.518,5.794,4.81,6-51,51,recall1,control,female,ptsd6,0,5,20
27.018,21.662,14.622,10.87,6-52,52,recall1,ptsd,female,ptsd6,0,5,20
17.25,13.606,9.69,8.65,6-61,61,recall1,control,female,ptsd6,0,5,20
8.638,5.162,3.028,1.96,6-62,62,recall1,control,female,ptsd6,0,5,20
26.598,20.626,17.15,15.51,6-63,63,recall1,ptsd,female,ptsd6,0,5,20
47.006,44.42,41.56,41.09,6-64,64,recall1,ptsd,female,ptsd6,0,5,20
49.652,46.71,45.11,44.56,6-65,65,recall1,ptsd,female,ptsd6,0,5,20
4.714,2.934,1.778,1.25,6-71,71,recall1,control,female,ptsd6,0,5,20
41.834,38.54,35.866,33.69,6-75,75,recall1,ptsd,female,ptsd6,0,5,20
29.356,26.058,21.866,18.63,6-74,74,recall1,ptsd,female,ptsd6,0,5,20
68.152,66.81,64.492,62.92,6-73,73,recall1,ptsd,female,ptsd6,0,5,20
17.268,12.726,8.184,6.06,6-72,72,recall1,ptsd,female,ptsd6,0,5,20
0.8,0,,0,6-51,51,recall2,control,female,ptsd6,5,5,27
22.478,18.554,,12.03,6-52,52,recall2,ptsd,female,ptsd6,5,5,27
12.862,8.042,,3.92,6-61,61,recall2,control,female,ptsd6,5,5,27
21.42,16.61,,10.61,6-62,62,recall2,control,female,ptsd6,5,5,27
3.386,0.358,,0,6-63,63,recall2,ptsd,female,ptsd6,5,5,27
23.61,20.228,,15.95,6-64,64,recall2,ptsd,female,ptsd6,5,5,27
6.056,4.72,,1.34,6-65,65,recall2,ptsd,female,ptsd6,5,5,27
4.012,0.714,,0,6-71,71,recall2,control,female,ptsd6,5,5,27
23.58,20.1,,18.36,6-75,75,recall2,ptsd,female,ptsd6,5,5,27
14.096,10.71,,7.31,6-74,74,recall2,ptsd,female,ptsd6,5,5,27
21.792,18.852,,15.78,6-73,73,recall2,ptsd,female,ptsd6,5,5,27
13.704,11.83,,7.66,6-72,72,recall2,ptsd,female,ptsd6,5,5,27
5.436,3.478,,0.71,6-51,51,recall3,control,female,ptsd6,10,5,34
20.074,16.066,,9.63,6-52,52,recall3,ptsd,female,ptsd6,10,5,34
10.508,4.806,,0,6-61,61,recall3,control,female,ptsd6,10,5,34
3.834,1.072,,0,6-62,62,recall3,control,female,ptsd6,10,5,34
3.84,0.802,,0,6-63,63,recall3,ptsd,female,ptsd6,10,5,34
22.07,20.468,,19.07,6-64,64,recall3,ptsd,female,ptsd6,10,5,34
27.676,23.58,,17.56,6-65,65,recall3,ptsd,female,ptsd6,10,5,34
0.358,0,,0,6-71,71,recall3,control,female,ptsd6,10,5,34
14.26,9.36,,4.72,6-75,75,recall3,ptsd,female,ptsd6,10,5,34
21.392,18.008,,13.46,6-74,74,recall3,ptsd,female,ptsd6,10,5,34
22.078,19.678,,14.26,6-73,73,recall3,ptsd,female,ptsd6,10,5,34
8.116,4.548,,0,6-72,72,recall3,ptsd,female,ptsd6,10,5,34
3.116651825,1.346,,0,6-51,51,recall4,control,female,ptsd6,15,5,41
19.50133571,15.318,,6.68,6-52,52,recall4,ptsd,female,ptsd6,15,5,41
9.617097061,6.14,,3.48,6-61,61,recall4,control,female,ptsd6,15,5,41
11.66518255,8.81,,2.32,6-62,62,recall4,control,female,ptsd6,15,5,41
7.569011576,4.98,,1.43,6-63,63,recall4,ptsd,female,ptsd6,15,5,41
42.38646483,39.472,,35.65,6-64,64,recall4,ptsd,female,ptsd6,15,5,41
11.30899377,8.502,,6.06,6-65,65,recall4,ptsd,female,ptsd6,15,5,41
1.24666073,0,,0,6-71,71,recall4,control,female,ptsd6,15,5,41
5.164737311,3.568,,0.62,6-75,75,recall4,ptsd,female,ptsd6,15,5,41
27.78272484,25.526,,21.66,6-74,74,recall4,ptsd,female,ptsd6,15,5,41
44.16740873,40.774,,34.14,6-73,73,recall4,ptsd,female,ptsd6,15,5,41
5.164737311,6.532,,1.96,6-72,72,recall4,ptsd,female,ptsd6,15,5,41
7.836153161,2.052,,0,6-51,51,recall5,control,female,ptsd6,20,5,48
14.15850401,10.364,,1.78,6-52,52,recall5,ptsd,female,ptsd6,20,5,48
5.075690116,2.05,,0.62,6-61,61,recall5,control,female,ptsd6,20,5,48
6.500445236,2.404,,0,6-62,62,recall5,control,female,ptsd6,20,5,48
3.739982191,1.696,,0,6-63,63,recall5,ptsd,female,ptsd6,20,5,48
11.75422974,8.546,,4.37,6-64,64,recall5,ptsd,female,ptsd6,20,5,48
4.808548531,2.496,,0,6-65,65,recall5,ptsd,female,ptsd6,20,5,48
1.157613535,0.356,,0,6-71,71,recall5,control,female,ptsd6,20,5,48
6.856634016,3.2,,2.14,6-75,75,recall5,ptsd,female,ptsd6,20,5,48
4.986642921,2.502,,0,6-74,74,recall5,ptsd,female,ptsd6,20,5,48
26.44701692,22.812,,17.02,6-73,73,recall5,ptsd,female,ptsd6,20,5,48
6.856634016,0,,0,6-72,72,recall5,ptsd,female,ptsd6,20,5,48
9.654456473,4.18,,1.85,6-51,51,recall6,control,female,ptsd6,25,30,55
23.44653715,17.554,,7.79,6-52,52,recall6,ptsd,female,ptsd6,25,30,55
15.8089871,6.76,,3.74,6-61,61,recall6,control,female,ptsd6,25,30,55
15.57170399,19.22,,5.86,6-62,62,recall6,control,female,ptsd6,25,30,55
14.28147709,2.678,,5.37,6-63,63,recall6,ptsd,female,ptsd6,25,30,55
24.63295269,25.61,,17,6-64,64,recall6,ptsd,female,ptsd6,25,30,55
16.16491176,6.136,,5.18,6-65,65,recall6,ptsd,female,ptsd6,25,30,55
3.870680706,0,,0.47,6-71,71,recall6,control,female,ptsd6,25,30,55
4.938454694,1.246,,0.61,6-75,75,recall6,ptsd,female,ptsd6,25,30,55
16.5801572,3.556,,9.06,6-74,74,recall6,ptsd,female,ptsd6,25,30,55
37.78733501,28.49,,26.83,6-73,73,recall6,ptsd,female,ptsd6,25,30,55
13.80691087,13.096,,3.63,6-72,72,recall6,ptsd,female,ptsd6,25,30,55
67.25516667,,,,7-41,41,sefla,ptsd,female,ptsd7,NA,60,0
2.188666667,,,,7-42,42,sefla,control,female,ptsd7,NA,60,0
2.0545,,,,7-43,43,sefla,control,female,ptsd7,NA,60,0
61.226,,,,7-44,44,sefla,ptsd,female,ptsd7,NA,60,0
60.87616667,,,,7-45,45,sefla,ptsd,female,ptsd7,NA,60,0
0.01483333333,,,,7-31,31,sefla,control,female,ptsd7,NA,60,0
1.750833333,,,,7-32,32,sefla,control,female,ptsd7,NA,60,0
56.174,,,,7-33,33,sefla,ptsd,female,ptsd7,NA,60,0
7.8825,,,,7-41,41,seflb,ptsd,female,ptsd7,NA,3,1
0.42,,,,7-42,42,seflb,control,female,ptsd7,NA,3,1
0.42,,,,7-43,43,seflb,control,female,ptsd7,NA,3,1
5.9775,,,,7-44,44,seflb,ptsd,female,ptsd7,NA,3,1
6.0675,,,,7-45,45,seflb,ptsd,female,ptsd7,NA,3,1
1.47,,,,7-31,31,seflb,control,female,ptsd7,NA,3,1
0.42,,,,7-32,32,seflb,control,female,ptsd7,NA,3,1
8.9575,,,,7-33,33,seflb,ptsd,female,ptsd7,NA,3,1
56.5,,,,7-41,41,recall1,ptsd,female,ptsd7,0,5,2
16.476,,,,7-42,42,recall1,control,female,ptsd7,0,5,2
24.942,,,,7-43,43,recall1,control,female,ptsd7,0,5,2
34.928,,,,7-44,44,recall1,ptsd,female,ptsd7,0,5,2
41.364,,,,7-45,45,recall1,ptsd,female,ptsd7,0,5,2
26.712,,,,7-31,31,recall1,control,female,ptsd7,0,5,2
19.6,,,,7-32,32,recall1,control,female,ptsd7,0,5,2
38.784,,,,7-33,33,recall1,ptsd,female,ptsd7,0,5,2
29.858,,,,7-41,41,recall2,ptsd,female,ptsd7,5,5,8
22.184,,,,7-42,42,recall2,control,female,ptsd7,5,5,8
9.446,,,,7-43,43,recall2,control,female,ptsd7,5,5,8
28.906,,,,7-44,44,recall2,ptsd,female,ptsd7,5,5,8
40.682,,,,7-45,45,recall2,ptsd,female,ptsd7,5,5,8
21.564,,,,7-31,31,recall2,control,female,ptsd7,5,5,8
20.922,,,,7-32,32,recall2,control,female,ptsd7,5,5,8
21.858,,,,7-33,33,recall2,ptsd,female,ptsd7,5,5,8
28.882,,,,7-41,41,recall3,ptsd,female,ptsd7,10,5,15
17.372,,,,7-42,42,recall3,control,female,ptsd7,10,5,15
15.774,,,,7-43,43,recall3,control,female,ptsd7,10,5,15
26.462,,,,7-44,44,recall3,ptsd,female,ptsd7,10,5,15
33.852,,,,7-45,45,recall3,ptsd,female,ptsd7,10,5,15
7.398,,,,7-31,31,recall3,control,female,ptsd7,10,5,15
3.3,,,,7-32,32,recall3,control,female,ptsd7,10,5,15
21.506,,,,7-33,33,recall3,ptsd,female,ptsd7,10,5,15
36.50934996,,,,7-41,41,recall4,ptsd,female,ptsd7,15,5,22
8.103294746,,,,7-42,42,recall4,control,female,ptsd7,15,5,22
21.19323241,,,,7-43,43,recall4,control,female,ptsd7,15,5,22
18.16562778,,,,7-44,44,recall4,ptsd,female,ptsd7,15,5,22
45.50311665,,,,7-45,45,recall4,ptsd,female,ptsd7,15,5,22
43.45503117,,,,7-31,31,recall4,control,female,ptsd7,15,5,22
28.22796082,,,,7-32,32,recall4,control,female,ptsd7,15,5,22
22.08370436,,,,7-33,33,recall4,ptsd,female,ptsd7,15,5,22
26.35796972,,,,7-41,41,recall5,ptsd,female,ptsd7,20,5,29
15.76135352,,,,7-42,42,recall5,control,female,ptsd7,20,5,29
13.35707925,,,,7-43,43,recall5,control,female,ptsd7,20,5,29
26.89225289,,,,7-44,44,recall5,ptsd,female,ptsd7,20,5,29
22.97417631,,,,7-45,45,recall5,ptsd,female,ptsd7,20,5,29
32.94746215,,,,7-31,31,recall5,control,female,ptsd7,20,5,29
20.65894924,,,,7-32,32,recall5,control,female,ptsd7,20,5,29
12.5556545,,,,7-33,33,recall5,ptsd,female,ptsd7,20,5,29
14.3365984,,,,7-41,41,recall6,ptsd,female,ptsd7,25,5,36
21.3713268,,,,7-42,42,recall6,control,female,ptsd7,25,5,36
6.322350846,,,,7-43,43,recall6,control,female,ptsd7,25,5,36
11.75422974,,,,7-44,44,recall6,ptsd,female,ptsd7,25,5,36
21.72751558,,,,7-45,45,recall6,ptsd,female,ptsd7,25,5,36
12.91184328,,,,7-31,31,recall6,control,female,ptsd7,25,5,36
15.04897596,,,,7-32,32,recall6,control,female,ptsd7,25,5,36
10.7747106,,,,7-33,33,recall6,ptsd,female,ptsd7,25,5,36
25.05191338,,,,7-41,41,recall7,ptsd,female,ptsd7,30,30,43
8.172649066,,,,7-42,42,recall7,control,female,ptsd7,30,30,43
17.38356571,,,,7-43,43,recall7,control,female,ptsd7,30,30,43
10.90180955,,,,7-44,44,recall7,ptsd,female,ptsd7,30,30,43
6.406643927,,,,7-45,45,recall7,ptsd,female,ptsd7,30,30,43
20.12457363,,,,7-31,31,recall7,control,female,ptsd7,30,30,43
18.67121459,,,,7-32,32,recall7,control,female,ptsd7,30,30,43
13.83657126,,,,7-33,33,recall7,ptsd,female,ptsd7,30,30,43
,4.829333333,,4.35,,28-1,sefla,control,male,ptsd9,,,
,67.41616667,,65.96,,28-2,sefla,ptsd,male,ptsd9,,,
,65.37,,62.88,,28-3,sefla,ptsd,male,ptsd9,,,
,19.44316667,,15.37,,28-4,sefla,control,male,ptsd9,,,
,1.053166667,,0.19,,28-5,sefla,control,male,ptsd9,,,
,61.13316667,,58.54,,29-1,sefla,ptsd,male,ptsd9,,,
,63.662,,60.81,,29-2,sefla,ptsd,male,ptsd9,,,
,4.385666667,,2.71,,29-3,sefla,control,male,ptsd9,,,
,19.63616667,,15.03,,29-4,sefla,control,male,ptsd9,,,
,47.497,,43.97,,29-5,sefla,ptsd,male,ptsd9,,,
,64.57316667,,61.22,,30-1,sefla,ptsd,male,ptsd9,,,
,43.54133333,,39.37,,30-2,sefla,control,male,ptsd9,,,
,10.187,,8.71,,30-5,sefla,control,male,ptsd9,,,
,64.3755,,63.37,,31-1,sefla,ptsd,male,ptsd9,,,
,67.164,,65.76,,31-2,sefla,ptsd,male,ptsd9,,,
,2.6395,,0.85,,31-5,sefla,control,male,ptsd9,,,
,0.84,,0,,28-1,seflb,control,male,ptsd9,,,
,23.2925,,24.55,,28-2,seflb,ptsd,male,ptsd9,,,
,25.66,,17.18,,28-3,seflb,ptsd,male,ptsd9,,,
,1.68,,0,,28-4,seflb,control,male,ptsd9,,,
,0,,0,,28-5,seflb,control,male,ptsd9,,,
,12.31,,7.76,,29-1,seflb,ptsd,male,ptsd9,,,
,30.7225,,20.23,,29-2,seflb,ptsd,male,ptsd9,,,
,4.8325,,0,,29-3,seflb,control,male,ptsd9,,,
,0.84,,0,,29-4,seflb,control,male,ptsd9,,,
,33.115,,28.37,,29-5,seflb,ptsd,male,ptsd9,,,
,13.26,,7.38,,30-1,seflb,ptsd,male,ptsd9,,,
,4.8325,,1.78,,30-2,seflb,control,male,ptsd9,,,
,1.3825,,1.02,,30-5,seflb,control,male,ptsd9,,,
,25.405,,22.65,,31-1,seflb,ptsd,male,ptsd9,,,
,22.6775,,16.54,,31-2,seflb,ptsd,male,ptsd9,,,
,3.075,,0.89,,31-5,seflb,control,male,ptsd9,,,
,18.082,,11.5,,28-1,recall1,control,male,ptsd9,,,
,48.244,,44.56,,28-2,recall1,ptsd,male,ptsd9,,,
,76.916,,75.58,,28-3,recall1,ptsd,male,ptsd9,,,
,35.854,,32.71,,28-4,recall1,control,male,ptsd9,,,
,4.114,,0,,28-5,recall1,control,male,ptsd9,,,
,56.354,,54.99,,29-1,recall1,ptsd,male,ptsd9,,,
,16.232,,9.45,,29-2,recall1,ptsd,male,ptsd9,,,
,44.038,,38.77,,29-3,recall1,control,male,ptsd9,,,
,32.426,,28.9,,29-4,recall1,control,male,ptsd9,,,
,68.494,,66.46,,29-5,recall1,ptsd,male,ptsd9,,,
,29.076,,24.26,,30-1,recall1,ptsd,male,ptsd9,,,
,26.014,,19.71,,30-2,recall1,control,male,ptsd9,,,
,30.816,,25.4,,30-5,recall1,control,male,ptsd9,,,
,47.448,,41.62,,31-1,recall1,ptsd,male,ptsd9,,,
,63.272,,60.96,,31-2,recall1,ptsd,male,ptsd9,,,
,13.382,,5.44,,31-5,recall1,control,male,ptsd9,,,
,17.834,,6.42,,28-1,recall2,control,male,ptsd9,,,
,53.164,,49.73,,28-2,recall2,ptsd,male,ptsd9,,,
,66.706,,64.97,,28-3,recall2,ptsd,male,ptsd9,,,
,4.104,,1.34,,28-4,recall2,control,male,ptsd9,,,
,7.302,,3.3,,28-5,recall2,control,male,ptsd9,,,
,43.52,,37.43,,29-1,recall2,ptsd,male,ptsd9,,,
,45.12,,41.98,,29-2,recall2,ptsd,male,ptsd9,,,
,1.074,,0,,29-3,recall2,control,male,ptsd9,,,
,18,,10.78,,29-4,recall2,control,male,ptsd9,,,
,60.962,,52.5,,29-5,recall2,ptsd,male,ptsd9,,,
,44.528,,37.52,,30-1,recall2,ptsd,male,ptsd9,,,
,25.288,,12.92,,30-2,recall2,control,male,ptsd9,,,
,26.804,,19.61,,30-5,recall2,control,male,ptsd9,,,
,51.062,,43.23,,31-1,recall2,ptsd,male,ptsd9,,,
,63.57,,59.8,,31-2,recall2,ptsd,male,ptsd9,,,
,5.694,,1.87,,31-5,recall2,control,male,ptsd9,,,
,2.608,,0,,28-1,recall3,control,male,ptsd9,,,
,50.862,,42.45,,28-2,recall3,ptsd,male,ptsd9,,,
,32.41,,25.65,,28-3,recall3,ptsd,male,ptsd9,,,
,10.532,,3.75,,28-4,recall3,control,male,ptsd9,,,
,0.356,,0,,28-5,recall3,control,male,ptsd9,,,
,60.034,,53.7,,29-1,recall3,ptsd,male,ptsd9,,,
,43.81,,35.86,,29-2,recall3,ptsd,male,ptsd9,,,
,0.888,,0,,29-3,recall3,control,male,ptsd9,,,
,22.268,,12.57,,29-4,recall3,control,male,ptsd9,,,
,57.786,,51.25,,29-5,recall3,ptsd,male,ptsd9,,,
,19.364,,13.19,,30-1,recall3,ptsd,male,ptsd9,,,
,13.566,,6.42,,30-2,recall3,control,male,ptsd9,,,
,22.086,,10.87,,30-5,recall3,control,male,ptsd9,,,
,49.296,,37.25,,31-1,recall3,ptsd,male,ptsd9,,,
,58.118,,51.96,,31-2,recall3,ptsd,male,ptsd9,,,
,8.286,,1.87,,31-5,recall3,control,male,ptsd9,,,
,6.952,,0,,28-1,recall4,control,male,ptsd9,,,
,12.482,,6.15,,28-2,recall4,ptsd,male,ptsd9,,,
,42.298,,35.92,,28-3,recall4,ptsd,male,ptsd9,,,
,23.016,,15.51,,28-4,recall4,control,male,ptsd9,,,
,6.05,,1.25,,28-5,recall4,control,male,ptsd9,,,
,46.816,,42.6,,29-1,recall4,ptsd,male,ptsd9,,,
,27.834,,21.84,,29-2,recall4,ptsd,male,ptsd9,,,
,6.79,,0.71,,29-3,recall4,control,male,ptsd9,,,
,32.056,,26.2,,29-4,recall4,control,male,ptsd9,,,
,52.686,,46.61,,29-5,recall4,ptsd,male,ptsd9,,,
,11.576,,9,,30-1,recall4,ptsd,male,ptsd9,,,
,13.63,,1.96,,30-2,recall4,control,male,ptsd9,,,
,16.25,,7.49,,30-5,recall4,control,male,ptsd9,,,
,47.04,,29.14,,31-1,recall4,ptsd,male,ptsd9,,,
,22.652,,11.76,,31-2,recall4,ptsd,male,ptsd9,,,
,9.176,,3.21,,31-5,recall4,control,male,ptsd9,,,
